SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
6,6,6,56,1,2,7,2,3,4,5,0,2,2,4,5,1,2,4,9,1,2,4
6,5,4,42,1,2,-1,2,2,2,2,1,3,5,2,2,1,1,2,5,1,3,5
7,6,5,64,1,2,7,2,1,2,3,1,8,7,1,2,1,2,2,3,1,2,3
6,6,6,41,3,5,5,3,1,3,5,1,2,4,3,5,4,1,3,9,4,3,5
6,7,6,57,1,2,99,1,3,1,2,1,8,8,1,2,1,1,2,2,1,1,2
6,6,4,62,1,2,6,2,3,2,4,1,8,6,2,4,1,1,2,8,1,3,7
5,4,5,32,1,2,98,2,1,3,5,0,2,4,3,5,1,2,3,8,1,1,1
6,5,5,48,1,2,6,2,2,5,5,0,1,3,4,5,1,2,3,8,1,3,7
7,7,7,59,2,2,99,1,2,2,2,0,99,2,4,2,1,2,2,6,1,4,9
1,3,5,39,2,1,1,1,3,3,3,0,2,4,2,3,1,1,2,4,3,1,1
6,5,2,47,1,1,6,1,3,2,3,1,8,6,2,3,1,1,1,5,3,4,8
6,6,7,44,1,2,5,2,2,5,5,1,2,6,2,5,1,1,2,9,1,2,4
6,5,6,67,1,2,5,1,3,5,5,-1,2,5,2,5,1,1,2,6,1,1,1
7,7,6,82,2,1,3,1,3,3,3,1,8,6,2,3,1,2,1,1,3,3,6
7,6,6,52,1,2,5,2,2,5,5,0,2,4,3,5,1,2,5,9,1,4,9
7,-1,-1,49,1,2,5,1,2,5,3,1,2,5,2,3,1,1,2,7,1,2,3
6,6,1,46,1,2,6,2,1,2,5,0,2,4,2,2,4,2,2,7,1,3,7
3,4,3,40,2,4,1,3,3,1,1,1,6,6,2,1,1,2,5,2,2,4,9
6,6,5,56,1,2,5,1,3,5,5,0,2,2,4,5,1,1,4,8,1,3,7
5,5,5,25,2,1,1,3,1,4,4,0,3,2,4,2,1,2,4,7,1,3,5
5,6,7,58,2,4,98,3,2,2,2,1,1,1,4,1,2,2,4,1,4,2,3
6,5,1,51,1,2,6,2,1,2,3,-1,8,7,1,3,1,2,2,6,1,3,5
5,6,5,49,1,2,4,2,3,5,5,1,2,2,4,5,1,2,1,8,1,4,9
7,6,6,57,1,2,5,2,3,3,3,1,8,7,1,3,1,1,2,8,1,1,2
7,7,7,70,3,3,5,1,3,3,3,1,2,1,4,3,1,2,4,9,5,3,5
5,5,5,44,1,2,4,2,3,2,2,0,3,5,2,2,1,2,4,8,1,1,2
7,6,5,47,1,1,5,-1,3,2,2,0,8,8,1,2,1,1,1,3,2,4,8
6,7,7,66,1,2,5,1,2,3,5,1,2,4,3,5,1,1,3,9,1,4,8
7,7,7,69,1,2,99,2,2,3,5,-1,8,8,1,3,4,1,1,7,1,3,7
6,6,7,69,3,3,4,2,1,4,5,1,2,2,4,5,1,1,3,9,4,4,9
6,5,6,41,2,2,2,3,2,4,3,1,7,1,4,3,3,2,3,1,5,2,4
7,7,7,70,2,1,2,1,3,3,3,1,2,4,3,3,2,2,2,1,3,3,6
5,4,4,41,2,2,98,2,2,2,2,0,6,6,2,2,1,1,3,3,1,3,7
6,7,7,60,1,2,6,2,2,5,5,0,8,8,1,5,1,1,2,7,1,1,2
5,6,6,80,2,2,5,2,2,4,4,1,2,1,4,4,1,1,2,8,1,1,2
6,6,4,49,1,2,5,2,2,2,3,0,6,6,2,2,1,1,3,7,1,4,9
7,7,4,52,1,2,5,2,2,2,4,1,8,7,1,2,1,2,2,6,1,1,1
7,7,6,58,1,2,5,2,2,4,5,0,2,4,2,5,1,1,3,8,1,2,3
